artist,year,album,track_n,track_title,line,lyric
Taylor Swift,2010/10/25,Speak Now,1,Mine,1,"You were in college,working part-time,waiting tables"
Taylor Swift,2010/10/25,Speak Now,1,Mine,2,Left a small town and never looked back
Taylor Swift,2010/10/25,Speak Now,1,Mine,3,"I was a flight risk,with a fear of falling"
Taylor Swift,2010/10/25,Speak Now,1,Mine,4,"Wondering why we bother with love,if it never lasts"
Taylor Swift,2010/10/25,Speak Now,1,Mine,5,"I say,""Can you believe it?"""
Taylor Swift,2010/10/25,Speak Now,1,Mine,6,As we're lying on the couch
Taylor Swift,2010/10/25,Speak Now,1,Mine,7,"The moment,I could see it"
Taylor Swift,2010/10/25,Speak Now,1,Mine,8,"Yes,yes,I can see it now"
Taylor Swift,2010/10/25,Speak Now,1,Mine,9,"Do you remember,we were sitting there,by the water?"
Taylor Swift,2010/10/25,Speak Now,1,Mine,10,You put your arm around me for the first time
Taylor Swift,2010/10/25,Speak Now,1,Mine,11,You made a rebel of a careless man's careful daughter
Taylor Swift,2010/10/25,Speak Now,1,Mine,12,You are the best thing that's ever been mine
Taylor Swift,2010/10/25,Speak Now,1,Mine,13,"Flash forward,and we're taking on the world together"
Taylor Swift,2010/10/25,Speak Now,1,Mine,14,And there's a drawer of my things at your place
Taylor Swift,2010/10/25,Speak Now,1,Mine,15,You learn my secrets and figure out why I'm guarded
Taylor Swift,2010/10/25,Speak Now,1,Mine,16,You say we'll never make my parents' mistakes
Taylor Swift,2010/10/25,Speak Now,1,Mine,17,But we got bills to pay
Taylor Swift,2010/10/25,Speak Now,1,Mine,18,We got nothing figured out
Taylor Swift,2010/10/25,Speak Now,1,Mine,19,When it was hard to take
Taylor Swift,2010/10/25,Speak Now,1,Mine,20,"Yes,yes"
Taylor Swift,2010/10/25,Speak Now,1,Mine,21,This is what I thought about:
Taylor Swift,2010/10/25,Speak Now,1,Mine,22,"Do you remember,we were sitting there,by the water?"
Taylor Swift,2010/10/25,Speak Now,1,Mine,23,You put your arm around me for the first time
Taylor Swift,2010/10/25,Speak Now,1,Mine,24,You made a rebel of a careless man's careful daughter
Taylor Swift,2010/10/25,Speak Now,1,Mine,25,You are the best thing that's ever been mine
Taylor Swift,2010/10/25,Speak Now,1,Mine,26,Do you remember all the city lights on the water?
Taylor Swift,2010/10/25,Speak Now,1,Mine,27,You saw me start to believe for the first time
Taylor Swift,2010/10/25,Speak Now,1,Mine,28,You made a rebel of a careless man's careful daughter
Taylor Swift,2010/10/25,Speak Now,1,Mine,29,You are the best thing that's ever been mine
Taylor Swift,2010/10/25,Speak Now,1,Mine,30,"And I remember that fight,2:30 AM"
Taylor Swift,2010/10/25,Speak Now,1,Mine,31,As everything was slipping right out of our hands
Taylor Swift,2010/10/25,Speak Now,1,Mine,32,"I ran out,crying,and you followed me out into the street"
Taylor Swift,2010/10/25,Speak Now,1,Mine,33,Braced myself for the goodbye
Taylor Swift,2010/10/25,Speak Now,1,Mine,34,Cause that's all I've ever known
Taylor Swift,2010/10/25,Speak Now,1,Mine,35,"Then,you took me by surprise"
Taylor Swift,2010/10/25,Speak Now,1,Mine,36,"You said,""I'll never leave you alone."""
Taylor Swift,2010/10/25,Speak Now,1,Mine,37,"You said,""I remember how we felt,sitting by the water"
Taylor Swift,2010/10/25,Speak Now,1,Mine,38,"And every time I look at you,it's like the first time"
Taylor Swift,2010/10/25,Speak Now,1,Mine,39,I fell in love with a careless man's careful daughter
Taylor Swift,2010/10/25,Speak Now,1,Mine,40,"She is the best thing that's ever been mine"""
Taylor Swift,2010/10/25,Speak Now,1,Mine,41,"Hold on,make it last"
Taylor Swift,2010/10/25,Speak Now,1,Mine,42,"Hold on,never turn back"
Taylor Swift,2010/10/25,Speak Now,1,Mine,43,You made a rebel of a careless man's careful daughter
Taylor Swift,2010/10/25,Speak Now,1,Mine,44,You are the best thing that's ever been mine
Taylor Swift,2010/10/25,Speak Now,1,Mine,45,"Yeah,yeah"
Taylor Swift,2010/10/25,Speak Now,1,Mine,46,Do you believe it?
Taylor Swift,2010/10/25,Speak Now,1,Mine,47,(Hold on)
Taylor Swift,2010/10/25,Speak Now,1,Mine,48,We're gonna make it now
Taylor Swift,2010/10/25,Speak Now,1,Mine,49,(Hold on)
Taylor Swift,2010/10/25,Speak Now,1,Mine,50,And I can see it
Taylor Swift,2010/10/25,Speak Now,1,Mine,51,"Yeah,yeah"
Taylor Swift,2010/10/25,Speak Now,1,Mine,52,I can see it now (see it now)
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,1,The way you move is like a full on rainstorm
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,2,And I'm a house of cards
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,3,You're the kind of reckless
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,4,That should send me running
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,5,But I kinda know that I won't get far
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,6,And you stood there in front of me
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,7,Just close enough to touch
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,8,Close enough to hope you couldn't see
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,9,What I was thinking of
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,10,Drop everything now
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,11,Meet me in the pouring rain
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,12,Kiss me on the sidewalk
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,13,Take away the pain
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,14,Cause I see sparks fly whenever you smile
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,15,"Get me with those green eyes,baby,as the lights go down"
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,16,Give me something that'll haunt me when you're not around
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,17,Cause I see sparks fly whenever you smile
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,18,My mind forgets to remind me
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,19,You're a bad idea
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,20,You touch me once and it's really something
Taylor Swift,2010/10/25,Speak Now,2,Sparks Fly,21,You find I'm even better than you imagined I would be
