artist,year,album,track_n,track_title,line,lyric
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,1,Knew he was a killer first time that I saw him
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,2,Wondered how many girls he had loved and left haunted
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,3,"But if he's a ghost,then I can be a phantom"
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,4,"Holdin' him for ransom,some"
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,5,"Some boys are tryin' too hard,he don't try at all though"
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,6,"Younger than my exes,but he act like such a man,so"
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,7,"I see nothing better,I keep him forever"
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,8,Like a vendetta-ta
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,9,"I,I,I see how this is gon' go"
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,10,Touch me and you'll never be alone
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,11,I-Island breeze and lights down low
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,12,No one has to know
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,13,"In the middle of the night,in my dreams"
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,14,"You should see the things we do,baby"
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,15,"In the middle of the night,in my dreams"
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,16,I know I'm gonna be with you
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,17,So I take my time
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,18,Are you ready for it?
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,19,Knew I was a robber first time that he saw me
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,20,Stealing hearts and running off and never sayin' sorry
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,21,"But if I'm a thief,then he can join the heist,and"
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,22,"We'll move to an island,and"
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,23,"And he can be my jailer,Burton to this Taylor"
Taylor Swift,2017/11/10,reputation,1,...Ready for It?,24,Every love I've known in comparison is a failure
