artist,year,album,track_n,track_title,line,lyric
Taylor Swift,2020/7/24,Folklore,1,The 1,1,I'm doing good
Taylor Swift,2020/7/24,Folklore,1,The 1,2,I'm on some new shit
Taylor Swift,2020/7/24,Folklore,1,The 1,3,Been saying “yes” instead of “no”
Taylor Swift,2020/7/24,Folklore,1,The 1,4,I thought I saw you at the bus stop
Taylor Swift,2020/7/24,Folklore,1,The 1,5,I didn't though
Taylor Swift,2020/7/24,Folklore,1,The 1,6,I hit the ground running each night
Taylor Swift,2020/7/24,Folklore,1,The 1,7,I hit the Sunday matinee
Taylor Swift,2020/7/24,Folklore,1,The 1,8,You know the greatest films of all time
Taylor Swift,2020/7/24,Folklore,1,The 1,9,Were never made
Taylor Swift,2020/7/24,Folklore,1,The 1,10,"I guess you never know,never know"
Taylor Swift,2020/7/24,Folklore,1,The 1,11,And if you wanted me you really should've showed
Taylor Swift,2020/7/24,Folklore,1,The 1,12,And if you never bleed you're never gonna grow
Taylor Swift,2020/7/24,Folklore,1,The 1,13,And it's alright now
Taylor Swift,2020/7/24,Folklore,1,The 1,14,"But we were something,"
Taylor Swift,2020/7/24,Folklore,1,The 1,15,Don't you think so?
Taylor Swift,2020/7/24,Folklore,1,The 1,16,"Roaring twenties,"
Taylor Swift,2020/7/24,Folklore,1,The 1,17,tossing pennies in the pool
Taylor Swift,2020/7/24,Folklore,1,The 1,18,And if my wishes came true
Taylor Swift,2020/7/24,Folklore,1,The 1,19,It would've been you
Taylor Swift,2020/7/24,Folklore,1,The 1,20,In my defense
Taylor Swift,2020/7/24,Folklore,1,The 1,21,I have none
Taylor Swift,2020/7/24,Folklore,1,The 1,22,For never leaving well enough alone
Taylor Swift,2020/7/24,Folklore,1,The 1,23,But it would've been fun
Taylor Swift,2020/7/24,Folklore,1,The 1,24,If you would've been the one
Taylor Swift,2020/7/24,Folklore,1,The 1,25,I have this dream
Taylor Swift,2020/7/24,Folklore,1,The 1,26,You're doing cool shit
