artist,year,album,track_n,track_title,line,lyric
Taylor Swift,2020/12/11,evermore,1,willow,1,I'm like the water when your ship rolled in that night
Taylor Swift,2020/12/11,evermore,1,willow,2,Rough on the surface but you cut through like a knife
Taylor Swift,2020/12/11,evermore,1,willow,3,And if it was an open/shut case
Taylor Swift,2020/12/11,evermore,1,willow,4,I never would've known from that look on your face
Taylor Swift,2020/12/11,evermore,1,willow,5,Lost in your current like a priceless wine
Taylor Swift,2020/12/11,evermore,1,willow,6,"The more that you say,the less I know"
Taylor Swift,2020/12/11,evermore,1,willow,7,"Wherever you stray,I follow"
Taylor Swift,2020/12/11,evermore,1,willow,8,I'm begging for you to take my hand
Taylor Swift,2020/12/11,evermore,1,willow,9,"Wreck my plans,that's my man"
Taylor Swift,2020/12/11,evermore,1,willow,10,Life was a willow and it bent right to your wind
Taylor Swift,2020/12/11,evermore,1,willow,11,"Head on the pillow,I could feel you sneaking in"
Taylor Swift,2020/12/11,evermore,1,willow,12,As if you were a mythical thing
Taylor Swift,2020/12/11,evermore,1,willow,13,Like you were a trophy or a champion ring
Taylor Swift,2020/12/11,evermore,1,willow,14,There was one prize I'd cheat to win
Taylor Swift,2020/12/11,evermore,1,willow,15,"The more that you say,the less I know"
Taylor Swift,2020/12/11,evermore,1,willow,16,"Wherever you stray,I follow"
Taylor Swift,2020/12/11,evermore,1,willow,17,I'm begging for you to take my hand
Taylor Swift,2020/12/11,evermore,1,willow,18,"Wreck my plans,that's my man"
Taylor Swift,2020/12/11,evermore,1,willow,19,You know that my train could take you home
Taylor Swift,2020/12/11,evermore,1,willow,20,Anywhere else is hollow
Taylor Swift,2020/12/11,evermore,1,willow,21,I'm begging for you to take my hand
Taylor Swift,2020/12/11,evermore,1,willow,22,"Wreck my plans,that's my man"
Taylor Swift,2020/12/11,evermore,1,willow,23,Life was a willow and it bent right to your wind
Taylor Swift,2020/12/11,evermore,1,willow,24,They count me out time and time again
Taylor Swift,2020/12/11,evermore,1,willow,25,Life was a willow and it bent right to your wind
Taylor Swift,2020/12/11,evermore,1,willow,26,But I come back stronger than a 90's trend
Taylor Swift,2020/12/11,evermore,1,willow,27,Wait for the signal and I'll meet you after dark
Taylor Swift,2020/12/11,evermore,1,willow,28,Show me the places where the others gave you scars
Taylor Swift,2020/12/11,evermore,1,willow,29,Now this is an open/shut case
Taylor Swift,2020/12/11,evermore,1,willow,30,I guess I should've known from the look on your face
Taylor Swift,2020/12/11,evermore,1,willow,31,Every bait and switch was a work of art
Taylor Swift,2020/12/11,evermore,1,willow,32,"The more that you say,the less I know"
Taylor Swift,2020/12/11,evermore,1,willow,33,"Wherever you stray,I follow"
Taylor Swift,2020/12/11,evermore,1,willow,34,I'm begging for you to take my hand
Taylor Swift,2020/12/11,evermore,1,willow,35,"Wreck my plans,that's my man"
Taylor Swift,2020/12/11,evermore,1,willow,36,You know that my train could take you home
Taylor Swift,2020/12/11,evermore,1,willow,37,Anywhere else is hollow
Taylor Swift,2020/12/11,evermore,1,willow,38,I'm begging for you to take my hand
Taylor Swift,2020/12/11,evermore,1,willow,39,"Wreck my plans,that's my man"
Taylor Swift,2020/12/11,evermore,1,willow,40,"The more that you say,the less I know"
Taylor Swift,2020/12/11,evermore,1,willow,41,"Wherever you stray,I follow"
Taylor Swift,2020/12/11,evermore,1,willow,42,I'm begging for you to take my hand
Taylor Swift,2020/12/11,evermore,1,willow,43,"Wreck my plans,that's my man"
Taylor Swift,2020/12/11,evermore,1,willow,44,You know that my train could take you home
Taylor Swift,2020/12/11,evermore,1,willow,45,Anywhere else is hollow
Taylor Swift,2020/12/11,evermore,1,willow,46,I'm begging for you to take my hand
Taylor Swift,2020/12/11,evermore,1,willow,47,"Wreck my plans,that's my man"
Taylor Swift,2020/12/11,evermore,1,willow,48,"Hey,that's my man"
Taylor Swift,2020/12/11,evermore,1,willow,49,That's my man
Taylor Swift,2020/12/11,evermore,1,willow,50,"Yeah,that's my man"
Taylor Swift,2020/12/11,evermore,1,willow,51,Every bait and switch was a work of art
Taylor Swift,2020/12/11,evermore,1,willow,52,That's my man
Taylor Swift,2020/12/11,evermore,1,willow,53,"Hey,that's my man"
Taylor Swift,2020/12/11,evermore,1,willow,54,I'm begging for you to take my hand
Taylor Swift,2020/12/11,evermore,1,willow,55,"Wreck my plans,that's my man"
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,1,You booked the night train for a reason
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,2,So you could sit there in this hurt
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,3,Bustling crowds or silent sleepers
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,4,You're not sure which is worse
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,5,Because I dropped your hand while dancing
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,6,Left you out there standing
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,7,Crestfallen on the landing
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,8,Champagne problems
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,9,Your mom's ring in your pocket
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,10,My picture in your wallet
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,11,"Your heart was glass,I dropped it"
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,12,Champagne problems
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,13,You told your family for a reason
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,14,You couldn't keep it in
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,15,Your sister splashed out on the bottle
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,16,Now no one's celebrating
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,17,"Dom Pérignon,you brought it"
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,18,No crowd of friends applauded
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,19,Your hometown skeptics called it
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,20,Champagne problems
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,21,"You had a speech,you're speechless"
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,22,Love slipped beyond your reaches
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,23,And I couldn't give a reason
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,24,Champagne problems
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,25,Your Midas touch on the Chevy door
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,26,November flushed and your flannel cured
Taylor Swift,2020/12/11,evermore,2,Champagne Problems,27,"""This dorm was once a madhouse""“"
